"Product Name","Product Category","Associated Partner",Fee,Branches,"Associated Workflow",Enrolled,"In Progress"
"Advanced Diploma of Leadership and Management",Course,"Fusion College of Technology","AUD 16,050.00","Head Office","Australian Education",0,0
"Certificate IV in Mental Health",Course,"Fusion College of Technology","AUD 12,550.00","Head Office","Australian Education",0,0
"Certificate IV in Accounting and Bookkeeping",Course,"Fusion College of Technology","AUD 10,050.00","Head Office","Australian Education",0,0
"Diploma of Accounting",Course,"Fusion College of Technology","AUD 10,550.00","Head Office","Australian Education",0,0
"Master of Health Management",Course,"Deakin University","AUD 79,600.00","Melbourne Burwood Campus","Australian Education",0,0
"Master of Creative Industries",Course,"Macquarie University (MQ)","AUD 75,800.00","North Ryde Campus","Australian Education",0,0
"Master of Applied Finance",Course,"Western Sydney University (WSU)","AUD 0.00","Parramatta City Campus Precinct","Australian Education",0,0
"Bachelor of Early Childhood Education","Higher Education Course","Southern Cross University (SCU)","AUD 0.00","Gold Coast Campus","Australian Education",1,1
"Certificate III in Early Childhood Education and Care",Course,"Training for Knowledge and Livelihood (TKL)","AUD 12,700.00","Parramatta Campus","Australian Education",0,0
"Master of Business Analytics",Course,"The University of Western Australia (UWA)","AUD 92,400.00","Crawley Campus","Australian Education",0,0
"Master of Nursing - Entry to Practice",Course,"Queensland University of Technology (QUT)","AUD 77,200.00","Kelvin Grove Campus","Australian Education",0,0
"Bachelor of 3D Animation",Course,"Academy of Interactive Technology","AUD 69,200.00","Sydney Campus,Melbourne Campus,North Sydney Campus","Accomodation Service,Australian Education,Insurance Service,VISA Service",0,0
"Master of Pharmaceutical Science",Course,"Monash University","AUD 102,800.00","Parkville Campus","Australian Education",0,0
"Bachelor of Advanced Computer Science (Honours) - Quantum Computing",Course,"The University of Western Australia (UWA)","AUD 176,000.00","Crawley Campus","Australian Education",0,0
"Bachelor of Advanced Computer Science (Honours) - International Cybersecurity",Course,"The University of Western Australia (UWA)","AUD 176,000.00","Crawley Campus","Australian Education",0,0
"Bachelor of Advanced Computer Science (Honours) - Computing and Data Science",Course,"The University of Western Australia (UWA)","AUD 176,000.00","Crawley Campus","Australian Education",0,0
"Bachelor of Advanced Computer Science (Honours) - Artificial Intelligence",Course,"The University of Western Australia (UWA)","AUD 176,000.00","Crawley Campus","Australian Education",0,0
"Graduate Diploma of Management (Learning)",Course,"Ransford College","AUD 20,000.00","Melbourne Campus,Sydney Campus,Adelaide Campus","Australian Education",0,0
"Advanced Diploma of Civil Construction Design",Course,"Ransford College","AUD 33,450.00","Melbourne Campus,Sydney Campus,Adelaide Campus","Australian Education",0,0
"Diploma of Leadership and Management",Course,"Ransford College","AUD 10,400.00","Melbourne Campus,Sydney Campus,Adelaide Campus","Australian Education",0,0
"Certificate IV in Ageing Support",Course,"Ransford College","AUD 10,900.00","Melbourne Campus,Sydney Campus,Adelaide Campus","Australian Education",0,0
"Diploma of Community Services",Course,"Ransford College","AUD 21,200.00","Melbourne Campus,Sydney Campus,Adelaide Campus","Australian Education",0,0
"Diploma of Information Technology (Business Analysis and Front end Web Development Specialisation)",Course,"Ransford College","AUD 21,200.00","Melbourne Campus,Sydney Campus,Adelaide Campus","Australian Education",0,0
"Juris Doctor",Course,"University of Technology Sydney (UTS)","AUD 134,784.00","UTS Campus","Australian Education",0,0
"Graduate Diploma of Information Technology",Course,"Australian Institute of Technology and Commerce","AUD 24,200.00",Sydney,"Australian Education",0,0
"Graduate Certificate in Information Technology",Course,"Australian Institute of Technology and Commerce","AUD 12,200.00",Sydney,"Australian Education",0,0
"Master of Information Technology",Course,"Australian Institute of Technology and Commerce","AUD 55,200.00",Sydney,"Australian Education",0,0
"Bachelor of Business (Accounting Major)",Course,"Southern Academy of Higher Education","AUD 54,250.00","Head Office","Australian Education",0,0
"Bachelor of Business (Hospitality Major)",Course,"Southern Academy of Higher Education","AUD 54,250.00","Head Office","Australian Education",2,0
"Bachelor of Business (Information Systems Major)",Course,"Southern Academy of Higher Education","AUD 54,250.00","Head Office","Australian Education",0,0
"Master of Digital Communication",Course,"Queensland University of Technology (QUT)","AUD 35,850.00","Kelvin Grove Campus","Australian Education",0,0
"Master of Optometry","Higher Education Course","Queensland University of Technology (QUT)","AUD 0.00","Brisbane Campus,Kelvin Grove Campus","Australian Education",1,0
"Advanced Diploma of Business",Course,"Australian College of Community and Health Services","AUD 10,200.00","Head Office","Australian Education,RPL Assessment ",0,0
"Advanced Diploma of Information Technology",Course,"Australasia Technology Institute","AUD 18,000.00","Main Campus - Sydney,Liverpool Campus","Australian Education",0,0
"General English",Course,"Queensland International Business Academy (QIBA)","AUD 5,520.00","Brisbane Campus,Canberra Campus,Sydney Campus","Australian Education",0,0
"Professional Year in Accounting",Course,"Queensland International Business Academy (QIBA)","AUD 0.00","Brisbane Campus,Sydney Campus,Canberra,Hobart","Australian Education",1,1
"Diploma in Engineering to Bachelor of Engineering Science 52 WEEKS",Course,"Western Sydney University International College","AUD 36,717.00","Western Sydney University International College","Australian Education",0,0
"Diploma in Engineering to Bachelor of Engineering Science 35 WEEKS (FAST TRACK)",Course,"Western Sydney University International College","AUD 29,750.00","Western Sydney University International College","Australian Education",0,0
"English For Academic Purpose (EAP)",Course,"Ashley English Language Institute","AUD 4,600.00","Main Campus","Accomodation Service,Australian Education,Insurance Service,VISA Service",0,0
"General English",Course,"Australian Language Centre","AUD 14,400.00","Head Office","Australian Education",0,0
"English for Academic purposes",Course,"Australian Language Centre","AUD 12,600.00","Head Office","Australian Education",2,2
"IELTS and PTE Examination Preparation",Course,"Australian Language Centre","AUD 13,000.00","Head Office","Australian Education",0,0
"Certificate III in Commercial Cookery",Course,"Central Australian College (CAC)","AUD 16,000.00","Footscray West Campus,Hobart CBD Campus,Melbourne CBD Campus","Australian Education",0,0
"Certificate IV in Kitchen Management",Course,"Central Australian College (CAC)","AUD 20,350.00","Footscray West Campus,Hobart CBD Campus,Melbourne CBD Campus","Australian Education",0,0
"Diploma of Hospitality Management",Course,"Central Australian College (CAC)","AUD 23,000.00","Footscray West Campus,Hobart CBD Campus,Melbourne CBD Campus","Australian Education",0,0
"Graduate Diploma of Management (Learning)",Course,"Central Australian College (CAC)","AUD 15,500.00","Footscray West Campus,Hobart CBD Campus,Melbourne CBD Campus","Australian Education",0,0
"Diploma of Leadership and Management",Course,"Central Australian College (CAC)","AUD 11,998.00","Footscray West Campus,Melbourne CBD Campus,Hobart CBD Campus","Australian Education",0,0
"Certificate II in Automotive Servicing Technology",Course,"Central Australian College (CAC)","AUD 3,429.00","Footscray West Campus,Hobart CBD Campus","Australian Education",0,0
"Diploma of Community Services",Course,"Central Australian College (CAC)","AUD 15,350.00","Footscray West Campus,Melbourne CBD Campus,Hobart CBD Campus","Australian Education",0,0
"Certificate III in Individual Support",Course,"Central Australian College (CAC)","AUD 12,350.00","Footscray West Campus,Hobart CBD Campus,Melbourne CBD Campus","Australian Education",0,0
"Advanced Diploma of Civil Construction Design",Course,"Central Australian College (CAC)","AUD 30,350.00","Footscray West Campus,Hobart CBD Campus,Melbourne CBD Campus","Australian Education",0,0
"Certificate II in EAL (Access)",Course,"Central Australian College (CAC)","AUD 0.00","Footscray West Campus,Hobart CBD Campus,Melbourne CBD Campus","Australian Education",0,0
"Certificate III in EAL (Further Study)",Course,"Central Australian College (CAC)","AUD 0.00","Footscray West Campus,Hobart CBD Campus,Melbourne CBD Campus","Australian Education",0,0
"Certificate IV in Marketing and Communication",Course,"Central Australian College (CAC)","AUD 5,000.00","Footscray West Campus,Hobart CBD Campus,Melbourne CBD Campus","Australian Education",0,0
"Diploma of Marketing and Communication",Course,"Central Australian College (CAC)","AUD 11,998.00","Footscray West Campus,Hobart CBD Campus,Melbourne CBD Campus","Australian Education",0,0
"Advanced Diploma of Marketing and Communication",Course,"Central Australian College (CAC)","AUD 12,148.00","Footscray West Campus,Hobart CBD Campus,Melbourne CBD Campus","Australian Education",0,0
"Diploma of Automotive Technology",Course,"Central Australian College (CAC)","AUD 7,500.00","Footscray West Campus,Hobart CBD Campus","Australian Education",0,0
"Graduate Diploma of Strategic Leadership",Course,"Central Australian College (CAC)","AUD 15,000.00","Footscray West Campus,Hobart CBD Campus,Melbourne CBD Campus","Australian Education",0,0
"General English Level - I",Course,"Central Australian College (CAC)","AUD 3,033.00","Footscray West Campus,Hobart CBD Campus,Melbourne CBD Campus","Australian Education",0,0
"General English Level II",Course,"Central Australian College (CAC)","AUD 3,033.00","Footscray West Campus,Hobart CBD Campus,Melbourne CBD Campus","Australian Education",0,0
"English for Academic Purpose - I",Course,"Central Australian College (CAC)","AUD 3,033.00","Footscray West Campus,Hobart CBD Campus,Melbourne CBD Campus","Australian Education",0,0
"English for Academic Purpose - II",Course,"Central Australian College (CAC)","AUD 3,033.00","Footscray West Campus,Hobart CBD Campus,Melbourne CBD Campus","Australian Education",0,0
"Graduate Certificate in Management (Learning)",Course,"Central Australian College (CAC)","AUD 7,500.00","Footscray West Campus,Hobart CBD Campus,Melbourne CBD Campus","Australian Education",0,0
"Certificate IV in Business",Course,"Central Australian College (CAC)","AUD 4,500.00","Footscray West Campus,Hobart CBD Campus,Melbourne CBD Campus","Australian Education",0,0
"Advanced Diploma of Leadership and Management",Course,"Central Australian College (CAC)","AUD 11,998.00","Footscray West Campus,Hobart CBD Campus,Melbourne CBD Campus","Australian Education",0,0
"Certificate III in Light Vehicle Mechanical Technology",Course,"Central Australian College (CAC)","AUD 16,498.00","Footscray West Campus,Hobart CBD Campus","Australian Education",0,0
"Certificate IV in Automotive Mechanical Diagnosis",Course,"Central Australian College (CAC)","AUD 6,750.00","Footscray West Campus,Hobart CBD Campus","Australian Education",0,0
"Diploma of Automotive Management",Course,"Central Australian College (CAC)","AUD 9,998.00","Footscray West Campus,Hobart CBD Campus","Australian Education",0,0
"Accelerated International Masters Qualifying Program + Master of Arts",Course,"Charles Darwin University (CDU)","AUD 82,948.00","Casuarina Campus,Waterfront Darwin Center","Australian Education",0,0
"Accelerated International Masters Qualifying Program + Graduate Diploma of Public Health",Course,"Charles Darwin University (CDU)","AUD 46,036.00","Casuarina Campus,Waterfront Darwin Center","Australian Education",0,0
"Accelerated International Masters Qualifying Program + Graduate Diploma of Indigenous Policy Development",Course,"Charles Darwin University (CDU)","AUD 48,700.00","Casuarina Campus,Waterfront Darwin Center","Australian Education",0,0
"Accelerated International Masters Qualifying Program + Graduate Diploma of Health Research",Course,"Charles Darwin University (CDU)","AUD 0.00","Casuarina Campus,Waterfront Darwin Center","Australian Education",0,0
"Accelerated International Masters Qualifying Program + Graduate Diploma of Emergency and Disaster Management",Course,"Charles Darwin University (CDU)","AUD 47,620.00","Casuarina Campus,Waterfront Darwin Center","Australian Education",0,0
"Bachelor of Professional Accounting",Course,"Australian School of Accounting","AUD 53,250.00",Sydney,"Australian Education",0,0
"Bachelor of Business (Technology Management)",Course,"Australian School of Accounting","AUD 53,000.00",Sydney,"Australian Education",0,0
"Associate Degree in Business and Technology",Course,"Australian School of Accounting","AUD 35,400.00",Sydney,"Australian Education",0,0
"Diploma of Business and Technology",Course,"Australian School of Accounting","AUD 17,800.00",Sydney,"Australian Education",0,0
"Certificate III in Engineering - Fabrication Trade","VET Course","Elpida Education","AUD 0.00","Head Office","RPL Assessment ",1,0
"Diploma of Community Services (Case Management)",Course,"Australian College of Community and Health Services","AUD 18,000.00","Head Office","Australian Education,RPL Assessment ",0,0
"Certificate IV in Ageing Support",Course,"Australian College of Community and Health Services","AUD 12,000.00","Head Office","Australian Education,RPL Assessment ",0,0
"Certificate III in Individual Support (Ageing)",Course,"Australian College of Community and Health Services","AUD 12,000.00","Head Office","Australian Education,RPL Assessment ",0,0
"Diploma of Leadership and Management",Course,"Australian College of Community and Health Services","AUD 12,000.00","Head Office","Australian Education,RPL Assessment ",0,0
"Diploma of Business",Course,"Australian College of Community and Health Services","AUD 6,200.00","Head Office","Australian Education,RPL Assessment ",0,0
"Master of Marketing (2 years)",Course,"Macquarie University (MQ)","AUD 86,400.00","North Ryde Campus","Australian Education",0,0
"Bachelor of Construction Management (Honours)",Course,"RMIT University (Royal Melbourne Institute of Technology University)","AUD 161,280.00","Melbourne City Campus","Australian Education",0,0
"Bachelor of Science","Higher Education Course","The University of Newcastle (UoN)","AUD 0.00","Head Office","Australian Education",1,0
"Master of Social Work (Qualifying)","Higher Education Course","Stott's College","AUD 0.00","Melbourne City Campus,Perth Campus,Sydney Campus","Australian Education",1,1
"Graduate Certificate of Health and Community",Course,"Stott's College","AUD 0.00","Melbourne City Campus,Sydney Campus","Australian Education",1,1
"Diploma of Building and Construction (Management)","VET Course","Cass Training International College - CTIC","AUD 0.00","Head Office","Australian Education",1,0
"Bachelor of Business-Major in Accounting",Course,"Churchill Institute","AUD 51,600.00","Head Office","Australian Education",0,0
"Bachelor of Business-Major in Information Systems",Course,"Churchill Institute","AUD 51,600.00","Head Office","Australian Education",0,0
"Bachelor of Business-Major in Hospitality",Course,"Churchill Institute","AUD 51,600.00","Head Office","Australian Education",2,2
"Bachelor of Business-Major in Management",Course,"Churchill Institute","AUD 51,600.00","Head Office","Australian Education",0,0
"Master of Sustainable Tourism, Hospitality and Event Management",Course,"Western Sydney University (WSU)","AUD 61,920.00","Parramatta City Campus Precinct","Australian Education",0,0
"Master of Financial Technology - Data Analytics",Course,"Griffith University","AUD 55,500.00","Nathan Campus","Australian Education",0,0
"Bachelor of Psychology",Course,"University of Technology Sydney (UTS)","AUD 127,008.00","UTS Campus","Australian Education",0,0
"Master of Educational Leadership",Course,"Excelsia College","AUD 19,000.00","Main Campus","Australian Education",1,1
EAP,Course,"Sydney Metro College","AUD 0.00","Sydney Campus,Melbourne Campus","Australian Education",3,2
"Tertiary Preparation Program (Health Sciences)",Course,"Australian Catholic University (ACU)","AUD 18,944.12","North Sydney Campus,Melbourne Campus,Brisbane Campus","Australian Education",0,0
"Diploma in Business",Course,"Australian Catholic University (ACU)","AUD 29,664.00","North Sydney Campus,Melbourne Campus,Brisbane Campus","Australian Education",0,0
"Diploma in Nutrition Science",Course,"Australian Catholic University (ACU)","AUD 25,568.00","North Sydney Campus,Melbourne Campus,Blacktown Campus","Australian Education",0,0
"Bachelor of Commerce (Data Analytics)",Course,"Australian Catholic University (ACU)","AUD 88,992.00","North Sydney Campus","Australian Education",0,0
"Master of Rehabilitation",Course,"Australian Catholic University (ACU)","AUD 24,104.01","North Sydney Campus,Melbourne Campus,Brisbane Campus","Australian Education",0,0
"Master of Social Work",Course,"Australian Catholic University (ACU)","AUD 23,400.00","Melbourne Campus,Brisbane Campus,Strathfield Campus,Canberra Campus","Australian Education",0,0
"Master of Teaching (Primary)",Course,"Australian Catholic University (ACU)","AUD 23,400.00","Melbourne Campus,Brisbane Campus,Strathfield Campus,Canberra Campus","Australian Education",0,0
"Master of Teaching (Primary)/Graduate Certificate in Religious Education",Course,"Australian Catholic University (ACU)","AUD 26,000.00","Melbourne Campus,Strathfield Campus","Australian Education",0,0
"Master of Teaching (Secondary)",Course,"Australian Catholic University (ACU)","AUD 23,400.00","Melbourne Campus,Brisbane Campus,Strathfield Campus,Canberra Campus","Australian Education",0,0
"Master of Teaching (Secondary)/Graduate Certificate of Religious Education",Course,"Australian Catholic University (ACU)","AUD 24,700.00","Melbourne Campus,Strathfield Campus","Australian Education",0,0
"Master of Theology (Research)",Course,"Australian Catholic University (ACU)","AUD 25,736.00","Melbourne Campus,Brisbane Campus,Strathfield Campus,Canberra Campus,Ballarat Campus","Australian Education",0,0
"OET Preparation",Course,"Australian Catholic University (ACU)","AUD 380.00","North Sydney Campus,Melbourne Campus,Brisbane Campus","Australian Education",0,0
"Study Abroad A",Course,"Australian Catholic University (ACU)","AUD 10,220.34","North Sydney Campus,Melbourne Campus,Brisbane Campus,Strathfield Campus,Canberra Campus,Ballarat Campus","Australian Education",0,0
"Study Abroad B",Course,"Australian Catholic University (ACU)","AUD 10,220.34","North Sydney Campus,Melbourne Campus,Brisbane Campus,Strathfield Campus,Canberra Campus,Ballarat Campus","Australian Education",0,0
"Master of Philosophy",Course,"Australian Catholic University (ACU)","AUD 27,096.00","North Sydney Campus,Melbourne Campus,Brisbane Campus,Strathfield Campus,Canberra Campus,Ballarat Campus","Australian Education",0,0
"Master of Professional Accounting",Course,"Australian Catholic University (ACU)","AUD 31,000.00","North Sydney Campus,Melbourne Campus,Brisbane Campus","Australian Education",0,0
"Master of Professional Psychology",Course,"Australian Catholic University (ACU)","AUD 27,912.00","Melbourne Campus,Brisbane Campus","Australian Education",0,0
"Master of Psychology (Clinical)",Course,"Australian Catholic University (ACU)","AUD 27,912.00","Melbourne Campus,Brisbane Campus,Strathfield Campus","Australian Education",0,0
"Master of Psychology (Clinical)/Doctor of Philosophy",Course,"Australian Catholic University (ACU)","AUD 27,096.00","Melbourne Campus,Strathfield Campus","Australian Education",0,0
"Master of Psychology (Educational and Developmental)",Course,"Australian Catholic University (ACU)","AUD 27,912.00","Melbourne Campus","Australian Education",0,0
"Master of Psychology (Educational and Developmental)/Doctor of Philosophy",Course,"Australian Catholic University (ACU)","AUD 23,400.00","Melbourne Campus","Australian Education",0,0
"Master of Public Health",Course,"Australian Catholic University (ACU)","AUD 23,400.00","Melbourne Campus","Australian Education",0,0
"Master of Public Health (Global Health and Advocacy)",Course,"Australian Catholic University (ACU)","AUD 23,400.00","Melbourne Campus","Australian Education",0,0
"Master of Education",Course,"Australian Catholic University (ACU)","AUD 23,400.00","North Sydney Campus,Melbourne Campus,Brisbane Campus,Strathfield Campus,Canberra Campus,Ballarat Campus","Australian Education",0,0
"Master of Educational Leadership",Course,"Australian Catholic University (ACU)","AUD 23,400.00","North Sydney Campus,Melbourne Campus,Brisbane Campus,Canberra Campus,Ballarat Campus","Australian Education",0,0
"Master of Finance",Course,"Australian Catholic University (ACU)","AUD 31,000.00","North Sydney Campus,Melbourne Campus","Australian Education",0,0
"Master of Health Administration",Course,"Australian Catholic University (ACU)","AUD 23,400.00","North Sydney Campus,Brisbane Campus","Australian Education",0,0
"Master of Information Technology",Course,"Australian Catholic University (ACU)","AUD 31,000.00","North Sydney Campus,Melbourne Campus,Brisbane Campus","Australian Education",0,0
"Master of Information Technology/Master of Business Administration",Course,"Australian Catholic University (ACU)","AUD 31,000.00","North Sydney Campus,Melbourne Campus,Brisbane Campus","Australian Education",0,0
"Master of Leadership and Management in Health Care",Course,"Australian Catholic University (ACU)","AUD 23,848.00","North Sydney Campus","Australian Education",0,0
"Graduate Diploma in Public Health",Course,"Australian Catholic University (ACU)","AUD 23,400.00","Melbourne Campus","Australian Education",0,0
"Graduate Diploma in Rehabilitation",Course,"Australian Catholic University (ACU)","AUD 24,104.00","North Sydney Campus,Melbourne Campus,Brisbane Campus","Australian Education",0,0
"IELTS Test Preparation",Course,"Australian Catholic University (ACU)","AUD 380.00","North Sydney Campus,Melbourne Campus,Brisbane Campus","Australian Education",0,0
"Master of Business Administration",Course,"Australian Catholic University (ACU)","AUD 31,000.00","North Sydney Campus,Melbourne Campus,Brisbane Campus","Australian Education",0,0
"Master of Clinical Exercise Physiology",Course,"Australian Catholic University (ACU)","AUD 24,104.01","Melbourne Campus,Brisbane Campus,Strathfield Campus","Australian Education",0,0
"Master of Commerce/Master of Business Administration",Course,"Australian Catholic University (ACU)","AUD 28,248.00","North Sydney Campus,Melbourne Campus,Brisbane Campus","Australian Education",0,0
"Graduate Diploma in Clinical Counselling",Course,"Australian Catholic University (ACU)","AUD 24,104.00","Strathfield Campus","Australian Education",0,0
"Graduate Diploma in Commerce",Course,"Australian Catholic University (ACU)","AUD 18,960.00","North Sydney Campus,Melbourne Campus,Brisbane Campus","Australian Education",0,0
"Graduate Diploma in Financial Planning",Course,"Australian Catholic University (ACU)","AUD 31,000.00","North Sydney Campus,Melbourne Campus","Australian Education",0,0
"Graduate Diploma in Health Administration",Course,"Australian Catholic University (ACU)","AUD 23,400.00","North Sydney Campus,Brisbane Campus","Australian Education",0,0
"Graduate Diploma in Psychology",Course,"Australian Catholic University (ACU)","AUD 24,104.00","Melbourne Campus,Brisbane Campus,Strathfield Campus","Australian Education",0,0
"English for Academic Purposes",Course,"Australian Catholic University (ACU)","AUD 23,400.00","North Sydney Campus,Melbourne Campus,Brisbane Campus","Australian Education",0,0
"English for the Workplace",Course,"Australian Catholic University (ACU)","AUD 19,760.00","Brisbane Campus","Australian Education",0,0
"Foundation Studies",Course,"Australian Catholic University (ACU)","AUD 19,974.15","North Sydney Campus,Melbourne Campus","Australian Education",0,0
"General English",Course,"Australian Catholic University (ACU)","AUD 380.00","North Sydney Campus,Melbourne Campus,Brisbane Campus","Australian Education",0,0
"Graduate Certificate in Business Administration",Course,"Australian Catholic University (ACU)","AUD 15,500.00","North Sydney Campus,Melbourne Campus,Brisbane Campus","Australian Education",0,0
"Graduate Certificate in Educational Leadership",Course,"Australian Catholic University (ACU)","AUD 11,700.00","Melbourne Campus","Australian Education",0,0
"Graduate Diploma in Business Administration",Course,"Australian Catholic University (ACU)","AUD 15,500.00","North Sydney Campus,Melbourne Campus,Brisbane Campus","Australian Education",0,0
"Bachelor of Visual Arts and Design",Course,"Australian Catholic University (ACU)","AUD 23,400.00","Melbourne Campus,Strathfield Campus","Australian Education",0,0
"Bachelor of Youth Work",Course,"Australian Catholic University (ACU)","AUD 23,400.00","Melbourne Campus","Australian Education",0,0
"Diploma in Business Information Systems",Course,"Australian Catholic University (ACU)","AUD 18,960.00","North Sydney Campus","Australian Education",0,0
"Diploma in Commerce",Course,"Australian Catholic University (ACU)","AUD 18,960.00","North Sydney Campus,Melbourne Campus,Brisbane Campus","Australian Education",0,0
"Diploma in Educational Studies (Tertiary Preparation)",Course,"Australian Catholic University (ACU)","AUD 23,400.00","North Sydney Campus,Melbourne Campus,Brisbane Campus,Strathfield Campus,Canberra Campus,Ballarat Campus","Australian Education",0,0
"Diploma in Liberal Arts",Course,"Australian Catholic University (ACU)","AUD 23,400.00","Melbourne Campus,Brisbane Campus,Strathfield Campus","Australian Education",0,0
"Diploma in Liberal Studies",Course,"Australian Catholic University (ACU)","AUD 23,400.00","North Sydney Campus,Melbourne Campus,Brisbane Campus,Strathfield Campus,Canberra Campus,Ballarat Campus","Australian Education",0,0
"Diploma in Visual Arts and Design",Course,"Australian Catholic University (ACU)","AUD 23,400.00","Melbourne Campus,Strathfield Campus","Australian Education",0,0
"Diploma in Youth Work",Course,"Australian Catholic University (ACU)","AUD 23,400.00","Melbourne Campus","Australian Education",0,0
"Doctor of Philosophy",Course,"Australian Catholic University (ACU)","AUD 27,096.00","North Sydney Campus,Melbourne Campus,Brisbane Campus,Strathfield Campus,Canberra Campus,Ballarat Campus","Australian Education",0,0
"Bachelor of Teaching/Bachelor of Arts (Mathematics)",Course,"Australian Catholic University (ACU)","AUD 23,400.00","Melbourne Campus,Strathfield Campus,Canberra Campus","Australian Education",0,0
"Bachelor of Teaching/Bachelor of Arts (Technology)",Course,"Australian Catholic University (ACU)","AUD 23,400.00","Strathfield Campus","Australian Education",0,0
"Bachelor of Teaching/Bachelor of Arts (Visual Arts)",Course,"Australian Catholic University (ACU)","AUD 23,400.00","Melbourne Campus,Strathfield Campus","Australian Education",0,0
"Bachelor of Teaching/Bachelor of Exercise Science",Course,"Australian Catholic University (ACU)","AUD 23,400.00","Melbourne Campus,Brisbane Campus,Canberra Campus,Ballarat Campus","Australian Education",0,0
