"Partner Name",Email,"Primary Contact",Phone,Street,City,State,"Post Code",Country,"Currency Code","Partner Category",Workflow,Products,Enrolled,"In Progress"
"Mulberry Institute",info@mulberry.nsw.edu.au,,"+61 (0) 2 95870195","Level 1, Unit 5, 9 Montgomery Street",Kogarah,"New South Wales",2217,Australia,AUD,Institution,"Australian Education",2,0,0
"International Institute of Technology and Management Australia (IITMA)",admin@iitma.vic.edu.au,,,"Suite 2B, Ground Floor,58 Victor Crescent","Narre warren",Victoria,3805,Australia,AUD,Institution,"Australian Education",1,0,0
"Queensland University of Technology (QUT)",askqut@qut.edu.au,,"(03) 9627 4853","2 George Street",Brisbane,Queensland,4000,Australia,AUD,University,"Australian Education",183,3,0
"APEX Australia Higher Education",info.he@apexaustralia.edu.au,,"02 8007 6262","2 Sorrell Street",Parramatta,"New South Wales",2150,Australia,AUD,Institution,"Australian Education",3,0,0
"TAFE South Australia",margie.fixter@tafesa.edu.au,,610882078200,"120 Currie Street",Adelaide,"South Australia",5000,Australia,AUD,Institution,"Australian Education",85,0,0
"Opulence College",enquiry.act@opc.edu.au,,+61261018650,"Mezzanine Level, 15 Moore St",CANBERRA,"Australian Capital Territory",2601,Australia,AUD,College,"Australian Education",9,0,0
"Cass Training International College - CTIC",info@casstraining.com.au,,"61 2 9279 2400","48 Lime St",Sydney,"New South Wales",00956C,Australia,AUD,College,"Australian Education",18,2,0
"USQ - Sydney Education Centre",info@usqsydney.nsw.edu.au,,61292803733,"Level 1, 29-35 Bellevue Street","Surry Hills","New South Wales",2010,Australia,AUD,"Training Center","Australian Education",9,1,0
"Institute of Health and Management",enquiry@ihm.edu.au,,61394554400,"Ground Floor, 1 Wentworth Street",Parramatta,"New South Wales",2150,Australia,AUD,"Training Center","Australian Education",7,2,1
"Envirotech Education",info@envirotech.edu.au,,61755353766,"10, Bains Rd","Currumbin Valley",Queensland,4223,Australia,AUD,Institution,"Australian Education",15,0,0
"Australian Skills Management Institute",admin@asmitraining.edu.au,,1300400269,"Level 5, 269 Wickham Street","Fortitude Valley",Queensland,4006,Australia,AUD,"Training Center","Australian Education",15,0,0
"The University of New South Wales (UNSW)",president@unsw.edu.au,,610293851000,"UNSW Sydney High St",Kensington,"New South Wales",2052,Australia,AUD,University,"Australian Education",596,2,0
"Nova Institute of Technology",info@novainstitute.net.au,,611300362883,"Level 4, 220 Albert Road","South Melbourne",Victoria,3205,Australia,AUD,Institution,"Australian Education",15,10,6
"The University of Notre Dame Australia",international@nd.edu.au,,61894330555,"23 High Street",Fremantle,"Western Australia",6160,Australia,AUD,University,"Australian Education",139,7,6
"University of Technology Sydney (UTS)",leo-mian.liu@uts.edu.au,,"(02) 9514 8072","1 Broadway",Haymarket,"New South Wales",2007,Australia,AUD,University,"Australian Education",626,3,1
"Victoria University (VU)",gotovu@vu.edu.au,,"(03) 9919 4468","Footscray Park Campus, Ballarat Road (between Hoadley Court and Mills Close)",Footscray,Victoria,3011,Australia,AUD,University,"Australian Education",162,10,4
"Hospitality Training Academy",admin@hta.com.au,,"+61 75556 4776","Level 1, 9 Bay Street",Southport,Queensland,4125,Australia,AUD,Institution,"Australian Education",9,0,0
"Melbourne Polytechnic",international@melbournepolytechnic.edu.au,,"(03) 9269 1666","77 - 91 St Georges Rd",Preston,Victoria,3072,Australia,AUD,Institution,"Australian Education",112,3,0
"Griffith University",D.Henly@griffith.edu.au,,"(07) 3735 6425","170 Kessels Road",Nathan,Queensland,4111,Australia,AUD,University,"Australian Education",310,4,2
"The University of Queensland (UQ)",admissions@uq.edu.au,,610733657941,"St Lucia",Brisbane,Queensland,4072,Australia,AUD,University,"Australian Education",1145,2,2
"Australian Health and Horticulture Institute",admin@ahhi.edu.au,,"(02) 8001 6198","31/70-74 Phillip Street",Parramatta,"New South Wales",2150,Australia,AUD,Institution,"Australian Education",11,0,0
"AUSWIDE College",info@auswidecollege.edu.au,,"1800 956 754","Lvel-1 575 Pacific Hwy","St Leonards","New South Wales",2065,Australia,AUD,College,"Australian Education",2,0,0
"Collins Institute of Australia",info@collins.edu.au,,610280248999,"Level 6,127 Liverpool Street",Sydney,"New South Wales",2000,Australia,AUD,Institution,"Australian Education",3,0,0
"Visa Alliance PTE Class",shova.rai@visaalliance.com,,,,,,,,AUD,"Internal Instructor",Classroom,1,65,56
"Oceania College of Technology (OCT)",info@oct.edu.au,"Tanveer Parmar",610731064200,"110 Beatty Road",Archerfield,Queensland,4108,Australia,AUD,Institution,"Australian Education",12,0,0
"Engineering Institute of Technology (EIT)",eit@eit.edu.au,,"(08) 9321 1702","1031 Wellington Street","West Perth","Western Australia",6872,Australia,AUD,Institution,"Australian Education",8,5,1
"Victory Institute",info@victory.nsw.edu.au,,61292998889,"Level 8, 22 Market Street",Sydney,"New South Wales",2000,Australia,AUD,"Training Center","Australian Education",12,2,2
"Pivotal Education",training@pivotal.edu.au,,61296879299,"84-86 Mary Street","Surry Hills","New South Wales",2010,Australia,AUD,Institution,"Australian Education",6,0,0
Holmesglen,info@holmesglen.edu.au,,"(03) 9564 1557","Corner Batesford & Warrigal Roads",Chadstone,Victoria,3148,Australia,AUD,Institution,"Australian Education",106,1,0
"Australian Health and Management Institute (AHMI)",marketing@ahmi.edu.au,,"(02) 9687 3323","Level 2, 43 Marion Street",Parramatta,"New South Wales",2150,Australia,AUD,Institution,"Australian Education",19,0,0
"Australian Institute of Business and Technical Education (AIBTE)",admissions@aibte.edu.au,,"+61 499 444 442","Level 3, 47 Waymouth St",Adelaide,"South Australia",5000,Australia,AUD,Institution,"Australian Education",4,0,0
"Sydney Metro College",admissions@sydneymetrocollege.edu.au,,61289370991,"Level 2, 16-22 Wentworth Avenue",Sydney,"New South Wales",2134,Australia,AUD,College,"Australian Education",16,14,11
"Signet Institute of Australia",info@signet.edu.au,,"1300 2233 12","Level 5 & 9, 341-345 Queen Street",Melbourne,Victoria,3000,Australia,AUD,Institution,"Australian Education",21,1,0
"Harbourside Institute of Australia",info@harbourside.nsw.edu.au,,6129216898,"Level 3 616-620 Harris St",Ultimo,"New South Wales",2007,Australia,AUD,Institution,"Australian Education",10,3,0
"Central Melbourne Institute (CMI)",Info@cmi.vic.edu.au,,610386377700,"Level 6, 460 Bourke Street",Melbourne,Victoria,3001,Australia,AUD,Institution,"Australian Education",11,0,0
"KCA Education",admissions@kca.edu.au,,"1300 854 011","269 Sussex Street",Sydney,"New South Wales",2000,Australia,AUD,Institution,"Australian Education",9,0,0
"Silverline College",info@slc.edu.au,,"61 1300 622 165","280 Pitt St",Sydney,"New South Wales",2000,Australia,AUD,College,"Australian Education",16,0,0
"Analytics Institute of Australia",info@analyticsinstitute.edu.au,,"(+61) 405 762 772","Part Level 10, 601 Bourke Street",Melbourne,Victoria,3000,Australia,AUD,Institution,"Australian Education",2,2,1
"The Institute of Creative Arts and Technology (ICAT), Macleay College",study@macleay.edu.au,,"(02) 8373 5100","Level 7, 250 Collins Street",Melbourne,Victoria,3000,Australia,AUD,College,"Australian Education",5,0,0
"Southern Cross University (SCU)",vpglobal@scu.edu.au,,"(02) 6620 3850","Military Road",Lismore,"New South Wales",2480,Australia,AUD,University,"Australian Education",141,61,34
"Vigil International College",info@vigilinternationalcollege.edu.au,,"1800 978 377","Level 2, 12-14 Wentworth St",Parramatta,"New South Wales",2150,Australia,AUD,College,"Australian Education",8,0,0
"VIT (Victorian Institute of Technology)",enrol@vit.edu.au,,"(03) 9670 7848","Level 14,123 Queen Street",Melbourne,Victoria,3000,Australia,AUD,Institution,"Australian Education",18,16,7
"Australian National Institute of Education(ANIE)",info@anie.edu.au,,61296205501,"Suite 11, 197 Prospect Hwy","Seven Hills","New South Wales",2147,Australia,AUD,Institution,"Australian Education",7,0,0
"CAREERS GLOBAL EDUCATION",info@careersglobal.com.au,Alexa,1300117783,"Level 8, 805/220 Collins St,",Melbourne,Victoria,3000,Australia,AUD,"Service Provider","Australian Education",3,0,0
"Oban College",info@oban.edu.au,,"+61 8 7081 7081","level 3, 135, Pirie Street",Adelaide,"South Australia",5000,Australia,AUD,College,"Australian Education",5,7,5
"Australian Sovereign College",info@ausc.edu.au,,61362009550,"212A Liverpool Street",Hobart,Tasmania,7000,Australia,AUD,College,"Australian Education",20,0,0
"INUS Australia",info@inusaustralia.com.au,,"+61 3 9642 4016","Ground Floor, 48 Flemington Rd Parkville",Melbourne,Victoria,3052,Australia,AUD,Institution,"Australian Education",4,0,0
"BRITTS COLLEGE",info@brittscollege.com.au,,"61 2 9264 2223","Ground Floor, 372 Spencer Street",Melbourne,Victoria,3003,Australia,AUD,College,"Australian Education",8,12,7
"Australian Institute of Business Intelligence (AIBI) Higher Education",info@aibi.edu.au,,61299697054,"Suite 510, 451 Pitt St",Sydney,"New South Wales",2000,Australia,AUD,College,"Australian Education",3,0,0
"Institute Of Science Management And Technology (ISMT)",info@ismt.edu.au,,"(02) 8542 1219","Level 1, 575-597 Pacific Highway",Sydney,"New South Wales",2065,Australia,AUD,Institution,"Australian Education",21,2,2
"ETON College",info@eton.edu.au,,"+61 2 8098 2999","Level 6, 191 Thomas Street",Haymarket,"New South Wales",2000,Australia,AUD,College,"Australian Education",2,0,0
"VIA Education",info@via.edu.au,,"(02) 9261 5616","Level 5, 565 George Street",Sydney,"New South Wales",2000,Australia,AUD,Institution,"Australian Education",8,0,0
"Nomi College",info@nomicollege.com.au,,+61272558206,"Unit 505 410 Elizabeth St","Surry Hills","New South Wales",2010,Australia,AUD,College,"Australian Education",11,0,0
"Kingsford Academy Australia (KAA)",info@kaa.edu.au,,"02 8318 7776","Level 2, 545 Kent Street",Sydney,"New South Wales",2000,Australia,AUD,Institution,"Australian Education",5,0,0
"International College of Hotel Management (ICHM)",admissions@ichm.edu.au,,"(+61 8) 8228 3664","131-139 Currie St",Adelaide,"South Australia",5000,Australia,AUD,"Training Center","Australian Education",9,0,0
"Australian National Institute of Management and Commerce(IMC)",info@imc.edu.au,,61292094888,"Suite 1 Biomedical Building, 1 Central Avenue",Eveleigh,"New South Wales",2015,Australia,AUD,Institution,"Australian Education",45,2,1
"Australian College of Professional Careers(ACPC)",info@acpc.edu.au,,"02 9054 9080","Shop1, 15-17 Blaxland Road",Rhodes,"New South Wales",2138,Australia,AUD,College,"Australian Education",9,0,0
"Skills Australia Institute",info@skillsaustralia.edu.au,,610861481300,"10 Victoria Avenue",Perth,"Western Australia",6000,Australia,AUD,Institution,"Australian Education,SKILL ASSESSMENT",14,0,0
"University of Canberra - ECA",UCSydneyHills@canberra.edu.au,"Rose Passarelli","(02) 9052 8900","72-74 Cecil Av",Sydney,,,Australia,AUD,University,"Australian Education",21,10,4
"Monash University",study@monash.edu,,610399054000,"Wellington Road",Clayton,Victoria,3800,Australia,AUD,University,"Australian Education",354,0,0
"Curtin University",study@curtin.edu.au,,610892665888,"Kent Street",Bentley,"Western Australia",6102,Australia,AUD,University,"Australian Education",270,0,0
"La Trobe University",W.Martinec@latrobe.edu.au,,"(03) 0013 5045","Plenty Road and Kingsbury Drive",Bundoora,Victoria,3086,Australia,AUD,University,"Australian Education",184,8,1
"University of the Sunshine Coast (USC)",information@usc.edu.au,,"(07) 5430 1101","90 Sippy Downs Drive","Sippy Downs",Queensland,4556,Australia,AUD,University,"Australian Education",114,3,1
"ATMC - Federation University Australia",academic.secretariat@federation.edu.au,"Sanjay Bastia","+61 4 8880 5001","601 Bourke Street",Melbourne,Victoria,3000,Australia,AUD,College,"Australian Education",24,12,0
"Australian Professional Skills Institute (APSI)",info@apsi.edu.au,,"(08) 6365 4386","Unit 12, Wellington Fair 40 Lord Street","East Perth","Western Australia",6004,Australia,AUD,Institution,"Australian Education",14,1,0
"Thames International College (Australia)",tinternationalcollege@gmail.com,,0412371977,"118 Walker St","North Sydney","New South Wales",2060,Australia,AUD,College,"Australian Education",7,34,8
"University of Southern Queensland (USQ)",international@usq.edu.au,,"(07) 4631 2285","487-535 West Street",Toowoomba,Queensland,4350,Australia,AUD,University,"Australian Education",322,8,1
"Polytechnic Institute Australia (PIA)",info@pia.edu.au,,"(02) 8319 8202","Level 16, 233 Castlereagh Street",Sydney,"New South Wales",2000,Australia,AUD,Institution,"Australian Education",16,4,3
"Deakin University",study@deakin.edu.au,,"+61 3 9918 9188","221 Burwood Highway",Burwood,Victoria,3125,Australia,AUD,University,"Australian Education",271,2,1
"Federation University Australia",info@federation.edu.au,,"(03) 5327 6712","University Drive",Ballarat,Victoria,3353,Australia,AUD,University,"Australian Education",103,12,5
"University of Tasmania (UTas)",International.Admissions@utas.edu.au,,"(03) 6226 8580","Hytten Hall, University of Tasmania, French Street","Sandy Bay",Tasmania,7005,Australia,AUD,University,"Australian Education",197,6,2
"Stellar College",info@mydomain.com,,6118005678899,"L2/148 Brunswick Street",Brisbane,Queensland,4006,Australia,AUD,College,"Australian Education",9,0,0
"Melbourne Institute of Technology (MIT)",enquiries@mit.edu.au,,"(03) 8600 6700","288 La Trobe Street",Melbourne,Victoria,3000,Australia,AUD,Institution,"Australian Education",19,1,0
"Sydney International School of Technology and Commerce",info@sistc.nsw.edu.au,,"1300 870 290","Level 14, 233 Castlereagh Street",Sydney,"New South Wales",2000,Australia,AUD,College,"Australian Education",8,1,0
"Universal Institute of Technology",info@uit.edu.au,,61396000087,"Level 1, 131 Queen Street ",Melbourne,Victoria,3000,Australia,AUD,"Training Center","Australian Education",11,2,0
"Universal English",info@universalenglish.edu.au,,61396000087,"Level 1 / 131 Queen Street",Melbourne,Victoria,3000,Australia,AUD,"Training Center","Australian Education",5,1,0
"Charles Darwin University (CDU)",study@cdu.edu.au,,"(08) 8946 7215","Level 10, 815 George Street",Sydney,"New South Wales",2000,Australia,AUD,University,"Australian Education",134,10,3
Nortwest,INFO@NORTWEST.EDU.AU,,61451915609,"Level 2, 531 George Street",Sydney,"New South Wales",2000,Australia,AUD,"Training Center","Australian Education",30,41,31
"Stanley College",info@stanleycollege.edu.au,,"(08) 6371 9999","171 James Street",Northbridge,"Western Australia",6003,Australia,AUD,Institution,"Australian Education",43,5,3
"Future College T/A Australian Academy of Hospitality and Management",ADMIN@FUTURECOLLEGE.COM.AU,,"1300 025 308","SUITE 85, LEVEL 8, 8-24 KIPPAX STREET","SURRY HILLS","New South Wales",2010,Australia,AUD,College,"Australian Education",10,1,0
"Australian Trade Training College",skills@aqato.com.au,,,,,,,,AUD,Private,"SKILL ASSESSMENT",1,33,19
"Nortwest College",enrolments@northwest.edu.au,"Nirmal Shah",,,,,,,AUD,College,"Australian Education",4,0,0
"St George and Sutherland Community College (SGSCC International)",slicciardello@sgscc.edu.au,,+61295283344,"127-129 Sutherland Road",Sydney,"New South Wales",2226,Australia,AUD,College,"Australian Education",17,0,0
"The University of Melbourne (UniMelb)",student-visa@unimelb.edu.au,,610383444022,"Grattan Street",Parkville,Victoria,3010,Australia,AUD,University,"Australian Education",397,0,0
"Le Pont International College",info@lepont.com.au,,"02 9172 5544","Level 3 25 George Street",Parramatta,"New South Wales",2150,Australia,AUD,College,"Australian Education",3,6,4
"University of Southern Queensland",study@usq.edu.au,,,"Springfield, Brisbane",,QLD,,,AUD,University,"Australian Education",2,0,0
"The William Light Institute",admin@accend.edu.au,,61396000087,"Level 1/131 Queen St",Melbourne,Victoria,3000,Australia,AUD,Institution,"Australian Education",3,22,10
"Murdoch University",international@murdoch.edu.au,,610893606063,"90 South Street",Murdoch,"Western Australia",6150,Australia,AUD,University,"Australian Education",234,2,1
"Universal Learning Group (WLI)",info@ulgroup.com.au,,61396000087,"1/131 Queen St",Melbourne,Victoria,3000,Australia,AUD,Institution,"Australian Education",2,0,0
"Universal Learning Group (UHE)",admissions@uhe.com.au,,61396000087,"1/131 Queen St",Melbourne,Victoria,3000,Australia,AUD,Institution,"Australian Education",2,0,0
"Gamma Education & Training",enquire@gamma.edu.au,,61730757099,"Level 2, 266 Brunswick Street","Fortitude Valley",Queensland,4006,Australia,AUD,Institution,"Australian Education",23,0,0
"RMIT University (Royal Melbourne Institute of Technology University)",isu@rmit.edu.au,,"(03) 8676 7047","124 La Trobe Street",Melbourne,Victoria,3001,Australia,AUD,University,"Australian Education",409,1,0
"ECA College of Health Sciences",info@chs.edu.au,,"1300 219 159","Level 4, 1-3 Fitzwilliam Street",Parramatta,"New South Wales",2150,Australia,AUD,College,"Australian Education",3,4,1
"Novus Education",admin@novuseducation.edu.au,"Ashish Maharjan",0425072090,"Level 3, Suite 3.09-3.11 22/36 Mountain St",ULTIMO,"New South Wales",2007,Australia,AUD,Institution,"Australian Education",15,4,4
"Choice Academic College",info@cacademic.edu.au,,"(02) 8437 7944","Level 1, 7 Hassall Street",Parramatta,"New South Wales",2150,Australia,AUD,Institution,"Australian Education",13,1,0
"Education Centre of Australia",apply@chs.edu.au,," 2 8265 3200",,Sydney,"New South Wales",,Australia,AUD,Institution,"Australian Education",2,2,0
"Universal Business School Sydney (UBSS)",info@gca.edu.au,"Dhiraj Singh","1300 422 422","Levels 10 & 11, 233 Castlereagh Street",Sydney,"New South Wales",1235,Australia,AUD,Institution,"Australian Education",13,6,3
"Southern Cross Education Institute (SCEI)",info@scei.edu.au,,"(03) 9602 4110","155-161 Boundary Road","North Melbourne",Victoria,3051,Australia,AUD,Institution,"Australian Education",21,8,4
"Navitas Professional",sydney@navitas-internships.com,,61300728966,"Level 15, 255 Elizabeth Street",Sydney,"New South Wales",2000,Australia,AUD,Institution,"Australian Education",6,1,1
"The Hotel School",hotelschool@scu.edu.au,,1800316530,"60 Phillip Street",Sydney,"New South Wales",2000,Australia,AUD,School,"Australian Education",6,6,1
"ABM Further Education",info@abm.edu.au,,610291604507,"Mezzanine 56-58 York Street",Sydney,"New South Wales",2000,Australia,AUD,Institution,"Australian Education",7,8,5
"Deakin University",deakinUni12@gmail.com,,,"221 Burwood Hwy","Burwood ",VIC,3125,Australia,AUD,University,"Australian Education",3,1,0
"Crown Institute of Higher Education (CIHE)",info@cihe.edu.au,"Saksham Onta","(02) 9955 0488","116 Pacific Highway","North Sydney","New South Wales",2060,Australia,AUD,Institution,"Australian Education",12,6,3
"Whitsundays College",admissions@wce.edu.au,,280670844,"Level 4, 579 Harris Street",Ultimo,NSW,2007,Australia,AUD,College,"Australian Education",1,0,0
"The University of Newcastle (UoN)",learningsupport@newcastle.edu.au,,"(02) 4921 6236","University Drive",Callaghan,"New South Wales",2308,Australia,AUD,University,"Australian Education",690,10,2
"Western Sydney University International College",mypathway@westernsydney.edu.au,"Tiara Duong",61296859860,"Level 6, 6 Hassall St",Parramatta,"New South Wales",2150,Australia,AUD,"Training Center","Australian Education",13,2,0
"James Cook University",jamesabc@gmail.com,,,"1 James Cook Dr"," Douglas ","QLD ",4811,Australia,AUD,University,"Australian Education",4,3,0
"Academies Australasia",Studentservices@academies.edu.au,,61292245500,"Level 6, 505 George Street",Sydney,"New South Wales",2000,Australia,AUD,Institution,"Australian Education",49,2,2
"Whitsundays College of English",admission@wce.edu.au,"Tom Jung",610406290255,"Level 4, 579 Harris Street",Ultimo,"New South Wales",2007,Australia,AUD,Institution,"Australian Education",4,16,3
"Griffith University",abc123@gmail.com,,,"South East ",,Queensland,,Australia,AUD,University,"Australian Education",3,0,0
TasTAFE,info@tastafe.tas.edu.au,,"1300 655 307","75 Campbell Street",Hobart,Tasmania,7000,Australia,AUD,Institution,"Australian Education",40,0,0
"Victoria University (ECA)",studentservices@vusydney.edu.au,,"61 2 8265 3216","Level 1, 160-166 Sussex Street",Sydney,"New South Wales",2000,Australia,AUD,University,"Australian Education",199,44,8
"Western Sydney College",ceo@westernsydneycollege.com.au,,61286287973,"55 High Street",Parramatta,"New South Wales",2150,Australia,AUD,College,"Australian Education",26,0,0
"The University of Adelaide ",dave.lamb@adelaide.edu.au,,610883137335,"North Terrace","Adelaide ","South Australia",5005,Australia,AUD,University,"Australian Education",885,0,0
"Edith Cowan University (ECU)",s.ridings@ecu.edu.au,,61-8-6304-0000,"270 Joondalup Drive",Perth,"Western Australia",6027,Australia,AUD,University,"Australian Education",207,1,1
"Technical Institute of Victoria",info@techinstitute.vic.edu.au,,61396393525,"Level 1, 252 Lygon Street",Carlton,Victoria,3053,Australia,AUD,"Training Center","Australian Education",5,0,0
AAT,mrdivision@aat.gov.au,,292765000,"Level 6, 83 Clarence Street",Sydney,NSW,2000,Australia,AUD,Tribunal,AAT,1,11,8
"The University of Western Australia (UWA)",international@uwa.edu.au,,"+61 8 9842 0888","35 Stirling Highway",Perth,"Western Australia",6009,Australia,AUD,University,"Australian Education",342,0,0
"Kaplan Business School (KBS)",info@kbs.edu.au,,"+61 (0)3 9626 4576","Level 4, 370 Docklands Drive",Melbourne,Victoria,3008,Australia,AUD,Institution,"Australian Education",37,14,7
"Superior Training Centre",info@stc.nsw.edu.au,,61296186809,"Unit 1 / 13 York Road ",Ingleburn,"New South Wales",2565,Australia,AUD,"Training Center","Australian Education",7,1,1
"Skyline International College (SIC)",info@sic.edu.au,,"1300 807 383","Suite 701, Lvl 7 and Suite 508, Lvl 5, 11-15 Deane Street",Burwood,"New South Wales",2134,Australia,AUD,Institution,"Australian Education",14,6,4
"Think Education Group",corporate@laureate.edu.au,,1300738243,"235 Pyrmont Street ",Perth,"New South Wales",2009,Australia,AUD,"Training Center","Australian Education",14,1,0
"Institute of Health and Nursing Australia",enquiry@ihna.edu.au,"Rexsen Roy Mathew",61394505100,"597-599 Upper Heidelberg Road","Heidelberg Heights",Victoria,3081,Australia,AUD,"Training Center","Australian Education",14,1,1
"Australian College of Applied Business",info@acab.edu.au,,"0430 458 955","Level 1, 239 Church St.",Parramatta,"New South Wales",2150,Australia,AUD,Institution,"Australian Education",7,0,0
"Canberra College of Management & Technology",info@ccmtcollege.edu.au,,"+61 2 9188 1733","Level 2, 15 Barry Drive",Turner,"Australian Capital Territory",2612,Australia,AUD,College,"Australian Education",13,1,0
"Hibernia Institute Sydney",principal@hibernia.edu.au,,"(02) 8214 2513","Level 1 16-22 Wentworth Avenue","Surrey Hills","New South Wales",2010,Australia,AUD,Institution,"Australian Education",6,1,1
"Southern Cross Education Institute - Higher Education (SCEI-HE)",enroll@scei-he.edu.au,,"(03) 9602 4110","155-161 Boundary Road","North Melbourne",Victoria,3051,Australia,AUD,Institution,"Australian Education",6,3,1
"Reach Community College",info@reachcollege.edu.au,,61361695508,"Level 2,132-146 Elizabeth St",Hobart,Tasmania,7000,Australia,AUD,College,"Australian Education",53,6,3
"Holmes Institute",melbourne@holmes.edu.au,,"(03) 9662 2055","185 Spring Street",Melbourne,Victoria,3000,Australia,AUD,Institution,"Australian Education",30,41,26
"Canberra Institute of Technology (CIT)",international@cit.edu.au,,"(02) 6207 3107","37 Constitution Avenue",Reid,"Australian Capital Territory",2612,Australia,AUD,Institution,"Australian Education",88,1,1
"Pax Institute of Education",info@pax.edu.au,,"0432 053 115","Level 16, 190 Queen Street",Melbourne,Victoria,3000,Australia,AUD,Institution,"Australian Education",5,2,0
"Australian College for Applied Professions",StudentCentral@acap.edu.au,," 1800 061 199","11/255 Elizabeth St","Sydney ",NSW," 2000",Australia,AUD,College,"Australian Education",2,3,2
"Elpida Education",info@elpidaedu.com,,,"ABN 52 644 504 487 Museum Towers Suite 603, 267-277 Castlereagh Street SYDNEY NSW 2000",,,,,AUD,"Training Center","RPL Assessment ",11,49,17
"Central Queensland University (CQU)",online@cqu.edu.au,"Carolina Lourenco","(07) 4930 9754","160 Ann Street",Brisbane,Queensland,4000,Australia,AUD,University,"Australian Education",112,43,13
"EOI AND ROI",naina@visaalliance.com.au,,405407081,,,,,,AUD,"Visa Office",EOI/ROI,9,219,140
"Strathfield College",info@strathfieldcollege.edu.au,,"61 2 9212 7799","Level 2 & 4, 86 Mary Street","Surry Hills","New South Wales",2010,Australia,AUD,Institution,"Australian Education",17,2,0
